Funder Group,Member Name
Council of Michigan Foundations,LAPEER COUNTY COMMUNITY FOUNDATION
Council of Michigan Foundations,LAWRENCE A. WISNE FOUNDATION
Council of Michigan Foundations,LEELANAU TOWNSHIP COMMUNITY FOUNDATION
Council of Michigan Foundations,LEINWEBER FOUNDATION
Council of Michigan Foundations,Lenawee Community Foundation
Council of Michigan Foundations,"LES AND ANNE BIEDERMAN FOUNDATION, INC."
Council of Michigan Foundations,LES CHENEAUX COMMUNITY FOUNDATION
Council of Michigan Foundations,"LIONS OF MICHIGAN SERVICE FOUNDATION, INC."
Council of Michigan Foundations,LLOYD AND MABEL JOHNSON FOUNDATION
Council of Michigan Foundations,Luella Hannan Memorial Foundation
Council of Michigan Foundations,M & M AREA COMMUNITY FOUNDATION
Council of Michigan Foundations,MACKINAC ISLAND COMMUNITY FOUNDATION
Council of Michigan Foundations,MANER COSTERISAN PC
Council of Michigan Foundations,MANISTEE COUNTY COMMUNITY FOUNDATION
Council of Michigan Foundations,MARGARET DUNNING FOUNDATION
Council of Michigan Foundations,MARSHALL COMMUNITY FOUNDATION
Council of Michigan Foundations,MARTIN FAMILY FOUNDATION
Council of Michigan Foundations,MASCO CORPORATION
Council of Michigan Foundations,MATILDA R. WILSON FUND
Council of Michigan Foundations,MAURICE AND DOROTHY STUBNITZ FOUNDATION
Council of Michigan Foundations,MAX M. AND MARJORIE S. FISHER FOUNDATION
Council of Michigan Foundations,McGregor Fund
Council of Michigan Foundations,Mecosta County Community Foundation
Council of Michigan Foundations,Metro Health Foundation
Council of Michigan Foundations,MICHIGAN CREDIT UNION FOUNDATION
Council of Michigan Foundations,MICHIGAN GATEWAY COMMUNITY FOUNDATION
Council of Michigan Foundations,Michigan Health Endowment Fund
Council of Michigan Foundations,MICHIGAN MUNICIPAL LEAGUE FOUNDATION
Council of Michigan Foundations,MICHIGAN STATE BAR FOUNDATION
Council of Michigan Foundations,MICHIGAN WOMEN FORWARD
Council of Michigan Foundations,MIDLAND AREA COMMUNITY FOUNDATION
Council of Michigan Foundations,MISSAUKEE AREA COMMUNITY FOUNDATION
Council of Michigan Foundations,MOLITOR FAMILY FOUNDATION
Council of Michigan Foundations,MONTCALM COMMUNITY COLLEGE FOUNDATION
Council of Michigan Foundations,MORLEY FAMILY FOUNDATION
Council of Michigan Foundations,"Mott Foundation, Charles Stewart"
Council of Michigan Foundations,MT. PLEASANT AREA COMMUNITY FOUNDATION
Council of Michigan Foundations,NARTEL FAMILY FOUNDATION
Council of Michigan Foundations,Needmor Fund
Council of Michigan Foundations,NEGAUNEE AREA COMMUNITY FUND
Council of Michigan Foundations,NEITHERCUT PHILANTHROPY ADVISORS
Council of Michigan Foundations,ATHENS AREA COMMUNITY FOUNDATION
Council of Michigan Foundations,NON-PROFIT PERSONNEL NETWORK
Council of Michigan Foundations,NORTH CENTRAL MICHIGAN COMMUNITY FOUNDATION
Council of Michigan Foundations,Northern Trust
Council of Michigan Foundations,NORTHWESTERN MICHIGAN COLLEGE FOUNDATION
Council of Michigan Foundations,NORTHWOOD FOUNDATION
Council of Michigan Foundations,NORWAY AREA COMMUNITY FOUNDATION
Council of Michigan Foundations,OAKLAND COMMUNITY COLLEGE FOUNDATION
Council of Michigan Foundations,OLESON FOUNDATION
Council of Michigan Foundations,AUTO CLUB GROUP FOUNDATION
Council of Michigan Foundations,Osceola County Community Foundation
Council of Michigan Foundations,OTSEGO COMMUNITY FOUNDATION
Council of Michigan Foundations,PAUL A. JOHNSON FOUNDATION
Council of Michigan Foundations,PAUL B. HENRY FOUNDATION
Council of Michigan Foundations,PEARSON FAMILY FOUNDATION
Council of Michigan Foundations,PETOSKEY-HARBOR SPRINGS AREA COMMUNITY FOUNDATION
Council of Michigan Foundations,PFM ASSET MANAGEMENT LLC
Council of Michigan Foundations,"PLANTE & MORAN, PLLC"
Council of Michigan Foundations,PLYM FOUNDATION
Council of Michigan Foundations,PNC Bank
Council of Michigan Foundations,PRESBYTERIAN VILLAGES OF MICHIGAN FOUNDATION
Council of Michigan Foundations,"BALLMER GROUP, LLC"
Council of Michigan Foundations,R.E. OLDS FOUNDATION
Council of Michigan Foundations,"RACHOR EDUCATION FOUNDATION, LTD"
Council of Michigan Foundations,"Ralph C. Wilson, Jr. Foundation"
Council of Michigan Foundations,RAMSER-MORGAN FOUNDATION
Council of Michigan Foundations,RAYMOND M. AND JANE E. CRACCHIOLO FOUNDATION
Council of Michigan Foundations,REHMANN FOUNDATION
Council of Michigan Foundations,REID FAMILY FOUNDATION
Council of Michigan Foundations,Resilia
Council of Michigan Foundations,RICHARD AND JANE MANOOGIAN FOUNDATION
Council of Michigan Foundations,ROBERT JENSEN DAU FOUNDATION
Council of Michigan Foundations,ROBERT NELSON FOUNDATION
Council of Michigan Foundations,Rockefeller Philanthropy Advisors
Council of Michigan Foundations,ROCKET COMMUNITY FUND
Council of Michigan Foundations,ROLLIN M. GERSTACKER FOUNDATION
Council of Michigan Foundations,ROSCOMMON COUNTY COMMUNITY FOUNDATION
Council of Michigan Foundations,ROTARY CHARITIES OF TRAVERSE CITY
Council of Michigan Foundations,BARRY COMMUNITY FOUNDATION
Council of Michigan Foundations,RUSSELL AND ANNABELLE WOODARD FAMILY FUND
Council of Michigan Foundations,RUSSELL H. AND MAXINE E. SMITH CHARITABLE FOUNDATION
Council of Michigan Foundations,Ruth Mott Foundation
Council of Michigan Foundations,SAGINAW COMMUNITY FOUNDATION
Council of Michigan Foundations,BARTON MALOW FOUNDATION
Council of Michigan Foundations,BATTLE CREEK COMMUNITY FOUNDATION
Council of Michigan Foundations,SANILAC COUNTY COMMUNITY FOUNDATION
Council of Michigan Foundations,SAVAGE FOUNDATION
Council of Michigan Foundations,BAY AREA COMMUNITY FOUNDATION
Council of Michigan Foundations,SCHOOLCRAFT COLLEGE FOUNDATION
Council of Michigan Foundations,SCHOOLCRAFT COUNTY COMMUNITY FOUNDATION
Council of Michigan Foundations,BAY HARBOR FOUNDATION
Council of Michigan Foundations,SHAFER-TUUK FAMILY FOUNDATION
Council of Michigan Foundations,SHARED MISSION FOUNDATION
Council of Michigan Foundations,SHIAWASSEE COMMUNITY FOUNDATION
Council of Michigan Foundations,Song Foundation
Council of Michigan Foundations,Sparta Community Foundation
Council of Michigan Foundations,SPECKHARD-KNIGHT CHARITABLE FOUNDATION
Council of Michigan Foundations,SQUARE ONE EDUCATION NETWORK
Council of Michigan Foundations,ST. CLAIR FOUNDATION
Council of Michigan Foundations,ST. IGNACE AREA COMMUNITY FOUNDATION
Council of Michigan Foundations,STEELCASE FOUNDATION
Council of Michigan Foundations,STRAITS AREA COMMUNITY FOUNDATION
Council of Michigan Foundations,Stryker Johnston Foundation
Council of Michigan Foundations,STURGIS AREA COMMUNITY FOUNDATION
Council of Michigan Foundations,TAHQUAMENON AREA COMMUNITY FOUNDATION
Council of Michigan Foundations,BENJAMIN AND MARION BREGI FOUNDATION
Council of Michigan Foundations,BENZIE COUNTY CENTRAL SCHOOLS EDUCATIONAL FOUNDATION
Council of Michigan Foundations,THE ART AND MARY SCHMUCKAL FAMILY FOUNDATION
Council of Michigan Foundations,THE CARLS FOUNDATION
Council of Michigan Foundations,THE CHARLES J. STROSACKER FOUNDATION
Council of Michigan Foundations,THE CHILDREN'S FOUNDATION
Council of Michigan Foundations,BERRIEN COMMUNITY FOUNDATION
Council of Michigan Foundations,BESSER FOUNDATION
Council of Michigan Foundations,THE COMMUNITY FOUNDATION OF THE HOLLAND/ZEELAND AREA
Council of Michigan Foundations,THE DART FOUNDATION
Council of Michigan Foundations,THE DAVID R NELSON AND SYLVIA J NELSON FOUNDATION FOR ARTS & LETTERS
Council of Michigan Foundations,THE DETROIT PISTONS FOUNDATION
Council of Michigan Foundations,THE EATON COUNTY COMMUNITY FOUNDATION
Council of Michigan Foundations,THE GERBER FOUNDATION
Council of Michigan Foundations,THE GILMOUR-JIRGENS FUND
Council of Michigan Foundations,THE GREATER LANSING FOUNDATION
Council of Michigan Foundations,THE HEES FAMILY FOUNDATION
Council of Michigan Foundations,BILL AND VI SIGMUND FOUNDATION
Council of Michigan Foundations,THE HERBERT H. AND GRACE A. DOW FOUNDATION
Council of Michigan Foundations,THE HOLLEY FOUNDATION
Council of Michigan Foundations,THE HURST FOUNDATION
Council of Michigan Foundations,THE ILES SCHROPP GROUP-MERRILL LYNCH
Council of Michigan Foundations,THE JEWISH FUND
Council of Michigan Foundations,BIRTWISTLE FAMILY FOUNDATION
Council of Michigan Foundations,THE JOHN DYKEMA & MICHELE MALY-DYKEMA FAMILY FOUNDATION
Council of Michigan Foundations,THE JOYCE FOUNDATION
Council of Michigan Foundations,THE JURY FOUNDATION
Council of Michigan Foundations,THE KANTZLER FOUNDATION
Council of Michigan Foundations,BLOOD CANCER FOUNDATION OF MICHIGAN
Council of Michigan Foundations,THE PATRICIA AND DAVID KEPLER FOUNDATION
Council of Michigan Foundations,THE PECK FOUNDATION
Council of Michigan Foundations,THE POKAGON FUND
Council of Michigan Foundations,THE PORTER FAMILY FOUNDATION
Council of Michigan Foundations,THE POWER FOUNDATION
Council of Michigan Foundations,BLUE CROSS BLUE SHIELD OF MICHIGAN FOUNDATION
Council of Michigan Foundations,THE SCHALON FOUNDATION
Council of Michigan Foundations,THE TISCORNIA FOUNDATION
Council of Michigan Foundations,The Wege Foundation
Council of Michigan Foundations,THE WETSMAN FOUNDATION
Council of Michigan Foundations,THOMAS DALEY MEMORIAL FUND
Council of Michigan Foundations,THREE RIVERS AREA COMMUNITY FOUNDATION
Council of Michigan Foundations,TO-MI-DA FUND
Council of Michigan Foundations,TONI A. WISNE FOUNDATION
Council of Michigan Foundations,TRI-STAR CHARITABLE FOUNDATION
Council of Michigan Foundations,TUMMALA CHARITABLE FOUNDATION
Council of Michigan Foundations,BODMAN PLC
Council of Michigan Foundations,TUSCOLA COUNTY COMMUNITY FOUNDATION
Council of Michigan Foundations,UMRC & PORTER HILLS FOUNDATION
Council of Michigan Foundations,BOSCH COMMUNITY FUND
Council of Michigan Foundations,VENTURE NORTH FUNDING
Council of Michigan Foundations,Vera and Joseph Dresner Foundation
Council of Michigan Foundations,VICKSBURG FOUNDATION
Council of Michigan Foundations,W.E. UPJOHN INSTITUTE FOR EMPLOYMENT RESEARCH
Council of Michigan Foundations,W.K. Kellogg Foundation
Council of Michigan Foundations,WENDELL AND DORIS ROGERS CHARITABLE FOUNDATION
Council of Michigan Foundations,WEST END HEALTH FOUNDATION
Council of Michigan Foundations,BRANCH COUNTY COMMUNITY FOUNDATION
Council of Michigan Foundations,WHIRLPOOL FOUNDATION
Council of Michigan Foundations,WILLIAM DAVIDSON FOUNDATION
Council of Michigan Foundations,WILLIAM MCNALLY FAMILY FOUNDATION
Council of Michigan Foundations,"BROMELKAMP COMPANY, LLC"
Council of Michigan Foundations,WYOMING COMMUNITY FOUNDATION
Council of Michigan Foundations,YEO FAMILY FOUNDATION
Council of Michigan Foundations,YOUNG FOUNDATION
Council of Michigan Foundations,BURNHAM FAMILY FOUNDATION
Council of Michigan Foundations,C.K. EDDY FAMILY FUND
Council of Michigan Foundations,CADILLAC AREA COMMUNITY FOUNDATION
Council of Michigan Foundations,CANTON COMMUNITY FOUNDATION
Council of Michigan Foundations,CAPITAL REGION COMMUNITY FOUNDATION
Council of Michigan Foundations,CAROL PAINE-MCGOVERN DONOR ADVISED FUND
Council of Michigan Foundations,CASS COUNTY MENTAL HEALTH FOUNDATION
Council of Michigan Foundations,CATHOLIC FOUNDATION OF MICHIGAN
Council of Michigan Foundations,CENTER FOR ARAB-AMERICAN PHILANTHROPY
Council of Michigan Foundations,CHARLEVOIX COUNTY COMMUNITY FOUNDATION
Council of Michigan Foundations,CHIPPEWA COUNTY COMMUNITY FOUNDATION
Council of New Jersey Grantmakers,Columbia Bank Foundation
Council of New Jersey Grantmakers,Community Foundation of New Jersey
Council of New Jersey Grantmakers,Community Foundation of South Jersey
Council of New Jersey Grantmakers,Council of New Jersey Grantmakers
Council of New Jersey Grantmakers,"Daiichi Sankyo, Inc."
Council of New Jersey Grantmakers,Devils Youth Foundation
Council of New Jersey Grantmakers,E. J. Grassmann Trust
Council of New Jersey Grantmakers,Educational Testing Service
Council of New Jersey Grantmakers,"Environmental Endowment for New Jersey, Inc."
Council of New Jersey Grantmakers,Ernest Christian Klipstein Foundation
Council of New Jersey Grantmakers,"F. M. Kirby Foundation, Inc."
Council of New Jersey Grantmakers,Fannie E. Rippel Foundation
Council of New Jersey Grantmakers,FirstEnergy Foundation
Council of New Jersey Grantmakers,Forman S. Acton Educational Foundation
Council of New Jersey Grantmakers,Friends Foundation for the Aging
Council of New Jersey Grantmakers,"GEM Foundation, Inc."
Council of New Jersey Grantmakers,Genmab
Council of New Jersey Grantmakers,Geraldine R. Dodge Foundation
Council of New Jersey Grantmakers,Greater Newark LISC
Council of New Jersey Grantmakers,GreenLight Fund
Council of New Jersey Grantmakers,Grotta Fund for Senior Care of JCF
Council of New Jersey Grantmakers,Grunin Foundation
Council of New Jersey Grantmakers,Holman
Council of New Jersey Grantmakers,I Am Trenton Community Foundation
Council of New Jersey Grantmakers,"Investors Foundation, Inc."
Council of New Jersey Grantmakers,J.C. Kellogg Foundation
Council of New Jersey Grantmakers,Janssen Pharmaceuticals
Council of New Jersey Grantmakers,Jewish Women's Foundation of New Jersey
Council of New Jersey Grantmakers,John J. and Rose Cali Family Foundation
Council of New Jersey Grantmakers,Johnson & Johnson
Council of New Jersey Grantmakers,Kessler Foundation
Council of New Jersey Grantmakers,Lord Abbett & Company LLC Foundation
Council of New Jersey Grantmakers,M. & T. Weiner Foundation
Council of New Jersey Grantmakers,M&T Bank
Council of New Jersey Grantmakers,Maher Charitable Foundation
Council of New Jersey Grantmakers,Munich Re US
Council of New Jersey Grantmakers,New Jersey Bankers Charitable Foundation
Council of New Jersey Grantmakers,New Jersey Children's Foundation
Council of New Jersey Grantmakers,New Jersey Community Capital
Council of New Jersey Grantmakers,New Jersey Council for the Humanities
Council of New Jersey Grantmakers,New Jersey Health Initiatives of RWJF
Council of New Jersey Grantmakers,New Jersey Historic Trust
Council of New Jersey Grantmakers,New Jersey Historical Commission
Council of New Jersey Grantmakers,New Jersey Natural Gas Charity Inc.
Council of New Jersey Grantmakers,New Jersey State Council on the Arts
Council of New Jersey Grantmakers,Newark Arts
Council of New Jersey Grantmakers,Newark Trust for Education
Council of New Jersey Grantmakers,NJM Insurance Group
Council of New Jersey Grantmakers,"Audible, Inc."
Council of New Jersey Grantmakers,Northern New Jersey Community Foundation
Council of New Jersey Grantmakers,Novartis Corporation
Council of New Jersey Grantmakers,OceanFirst Foundation
Council of New Jersey Grantmakers,"Panasonic Foundation, Inc."
Council of New Jersey Grantmakers,Partners for Health Foundation
Council of New Jersey Grantmakers,"PNC Financial Services Group, Inc."
